league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,season_start,stat_type
ENG-Premier League,2020/21,Chelsea,N'Golo Kanté,FRA,MF,29,1991,30,24,2146,23.8,0,2,2,0,0,0,7,0,0.0,0.08,0.08,0.0,0.08,2020,standard
ENG-Premier League,2020/21,Chelsea,Olivier Giroud,FRA,FW,33,1986,17,8,748,8.3,4,0,4,4,0,0,1,0,0.48,0.0,0.48,0.48,0.48,2020,standard
ENG-Premier League,2020/21,Chelsea,Reece James,ENG,"DF,MF",20,1999,32,25,2373,26.4,1,2,3,1,0,0,3,0,0.04,0.08,0.11,0.04,0.11,2020,standard
ENG-Premier League,2020/21,Chelsea,Ross Barkley,ENG,MF,26,1993,2,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Chelsea,Ruben Loftus-Cheek,ENG,FW,24,1996,1,1,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Chelsea,Tammy Abraham,ENG,FW,22,1997,22,12,1040,11.6,6,1,7,6,0,0,0,0,0.52,0.09,0.61,0.52,0.61,2020,standard
ENG-Premier League,2020/21,Chelsea,Thiago Silva,BRA,DF,35,1984,23,23,1935,21.5,2,0,2,2,0,0,5,1,0.09,0.0,0.09,0.09,0.09,2020,standard
ENG-Premier League,2020/21,Chelsea,Timo Werner,GER,"FW,MF",24,1996,35,29,2602,28.9,6,8,14,6,0,0,2,0,0.21,0.28,0.48,0.21,0.48,2020,standard
ENG-Premier League,2020/21,Chelsea,Willy Caballero,ARG,GK,38,1981,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Chelsea,Édouard Mendy,SEN,GK,28,1992,31,31,2745,30.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Crystal Palace,Andros Townsend,ENG,"MF,FW",29,1991,34,25,2258,25.1,1,5,6,1,0,0,0,0,0.04,0.2,0.24,0.04,0.24,2020,standard
ENG-Premier League,2020/21,Crystal Palace,Cheikhou Kouyaté,SEN,DF,30,1989,36,35,3121,34.7,1,0,1,1,0,0,4,0,0.03,0.0,0.03,0.03,0.03,2020,standard
ENG-Premier League,2020/21,Crystal Palace,Christian Benteke,BEL,FW,29,1990,30,21,1816,20.2,10,1,11,10,0,0,3,1,0.5,0.05,0.55,0.5,0.55,2020,standard
ENG-Premier League,2020/21,Crystal Palace,Eberechi Eze,ENG,MF,22,1998,34,29,2559,28.4,4,6,10,4,0,0,3,0,0.14,0.21,0.35,0.14,0.35,2020,standard
ENG-Premier League,2020/21,Crystal Palace,Gary Cahill,ENG,DF,34,1985,20,20,1800,20.0,1,1,2,1,0,0,3,0,0.05,0.05,0.1,0.05,0.1,2020,standard
ENG-Premier League,2020/21,Crystal Palace,Jack Butland,ENG,GK,27,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Crystal Palace,James McArthur,SCO,MF,32,1987,18,17,1466,16.3,0,2,2,0,0,0,3,0,0.0,0.12,0.12,0.0,0.12,2020,standard
ENG-Premier League,2020/21,Crystal Palace,James McCarthy,IRL,MF,29,1990,16,10,821,9.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Crystal Palace,James Tomkins,ENG,DF,31,1989,8,6,553,6.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Crystal Palace,Jaïro Riedewald,NED,MF,23,1996,33,19,1820,20.2,2,0,2,2,0,0,4,0,0.1,0.0,0.1,0.1,0.1,2020,standard
ENG-Premier League,2020/21,Crystal Palace,Jean-Philippe Mateta,FRA,FW,23,1997,7,2,221,2.5,1,0,1,1,0,0,0,0,0.41,0.0,0.41,0.41,0.41,2020,standard
ENG-Premier League,2020/21,Crystal Palace,Jeffrey Schlupp,GHA,MF,27,1992,27,15,1428,15.9,2,3,5,2,0,0,3,0,0.13,0.19,0.32,0.13,0.32,2020,standard
ENG-Premier League,2020/21,Crystal Palace,Joel Ward,ENG,DF,30,1989,26,25,2256,25.1,0,1,1,0,0,0,5,0,0.0,0.04,0.04,0.0,0.04,2020,standard
ENG-Premier League,2020/21,Crystal Palace,Jordan Ayew,GHA,"FW,MF",28,1991,33,23,2096,23.3,1,3,4,1,0,0,4,0,0.04,0.13,0.17,0.04,0.17,2020,standard
ENG-Premier League,2020/21,Crystal Palace,Luka Milivojević,SRB,MF,29,1991,31,27,2359,26.2,1,1,2,0,1,2,8,1,0.04,0.04,0.08,0.0,0.04,2020,standard
ENG-Premier League,2020/21,Crystal Palace,Mamadou Sakho,FRA,DF,30,1990,4,3,276,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Crystal Palace,Martin Kelly,ENG,"DF,MF",30,1990,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Crystal Palace,Michy Batshuayi,BEL,FW,26,1993,18,7,728,8.1,2,1,3,2,0,0,0,0,0.25,0.12,0.37,0.25,0.37,2020,standard
ENG-Premier League,2020/21,Crystal Palace,Nathaniel Clyne,ENG,DF,29,1991,13,13,1145,12.7,0,1,1,0,0,0,2,0,0.0,0.08,0.08,0.0,0.08,2020,standard
ENG-Premier League,2020/21,Crystal Palace,Patrick van Aanholt,NED,DF,29,1990,22,20,1777,19.7,0,1,1,0,0,0,2,0,0.0,0.05,0.05,0.0,0.05,2020,standard
ENG-Premier League,2020/21,Crystal Palace,Scott Dann,ENG,DF,33,1987,15,15,1350,15.0,1,0,1,1,0,0,1,0,0.07,0.0,0.07,0.07,0.07,2020,standard
ENG-Premier League,2020/21,Crystal Palace,Tyrick Mitchell,ENG,DF,20,1999,19,19,1710,19.0,1,1,2,1,0,0,1,0,0.05,0.05,0.11,0.05,0.11,2020,standard
ENG-Premier League,2020/21,Crystal Palace,Vicente Guaita,ESP,GK,33,1987,37,37,3330,37.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Crystal Palace,Wilfried Zaha,CIV,FW,27,1992,30,29,2612,29.0,11,2,13,9,2,2,6,0,0.38,0.07,0.45,0.31,0.38,2020,standard
ENG-Premier League,2020/21,Everton,Abdoulaye Doucouré,MLI,MF,27,1993,29,29,2443,27.1,2,3,5,2,0,0,6,0,0.07,0.11,0.18,0.07,0.18,2020,standard
ENG-Premier League,2020/21,Everton,Alex Iwobi,NGA,"MF,FW",24,1996,30,17,1542,17.1,1,2,3,1,0,0,0,0,0.06,0.12,0.18,0.06,0.18,2020,standard
ENG-Premier League,2020/21,Everton,Allan,BRA,MF,29,1991,24,23,2051,22.8,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,2020,standard
ENG-Premier League,2020/21,Everton,André Gomes,POR,MF,27,1993,28,17,1570,17.4,0,1,1,0,0,0,3,0,0.0,0.06,0.06,0.0,0.06,2020,standard
ENG-Premier League,2020/21,Everton,Anthony Gordon,ENG,MF,19,2001,3,1,88,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2020,standard
